,cluster,nodes_lat,nodes_lon
0,4,70.0,-16.0
1,4,70.0,-15.5
2,4,70.0,-15.0
3,4,70.0,-14.5
4,4,70.0,-14.0
5,4,70.0,-13.5
6,4,70.0,-13.0
7,4,70.0,-12.5
8,4,70.0,-12.0
9,4,70.0,-11.5
10,4,70.0,-11.0
11,4,70.0,-10.5
12,4,70.0,-10.0
13,4,70.0,-9.5
14,4,70.0,-9.0
15,4,70.0,-8.5
16,4,70.0,-8.0
17,4,70.0,-7.5
18,4,70.0,-7.0
19,4,70.0,-6.5
20,4,70.0,-6.0
21,4,70.0,-5.5
22,4,70.0,-5.0
23,4,70.0,-4.5
24,4,70.0,-4.0
25,3,70.0,-3.5
26,3,70.0,-3.0
27,3,70.0,-2.5
28,3,70.0,-2.0
29,3,70.0,-1.5
30,3,70.0,-1.0
31,3,70.0,-0.5
32,3,70.0,0.0
33,3,70.0,0.5
34,3,70.0,1.0
35,3,70.0,1.5
36,3,70.0,2.0
37,3,70.0,2.5
38,3,70.0,3.0
39,3,70.0,3.5
40,3,70.0,4.0
41,3,70.0,4.5
42,3,70.0,5.0
43,3,70.0,5.5
44,3,70.0,6.0
45,3,70.0,6.5
46,3,70.0,7.0
47,3,70.0,7.5
48,3,70.0,8.0
49,3,70.0,8.5
50,3,70.0,9.0
51,3,70.0,9.5
52,3,70.0,10.0
53,3,70.0,10.5
54,3,70.0,11.0
55,3,70.0,11.5
56,3,70.0,12.0
57,3,70.0,12.5
58,3,70.0,13.0
59,3,70.0,13.5
60,3,70.0,14.0
61,3,70.0,14.5
62,3,70.0,15.0
63,3,70.0,15.5
64,3,70.0,16.0
65,3,70.0,16.5
66,3,70.0,17.0
67,3,70.0,17.5
68,3,70.0,18.0
69,3,70.0,18.5
70,3,70.0,19.0
71,3,70.0,19.5
72,3,70.0,20.0
73,3,70.0,20.5
74,3,70.0,21.0
75,3,70.0,21.5
76,3,70.0,22.0
77,3,70.0,22.5
78,3,70.0,23.0
79,3,70.0,23.5
80,3,70.0,24.0
81,3,70.0,24.5
82,3,70.0,25.0
83,3,70.0,25.5
84,3,70.0,26.0
85,3,70.0,26.5
86,3,70.0,27.0
87,3,70.0,27.5
88,3,70.0,28.0
89,3,70.0,28.5
90,3,70.0,29.0
91,3,70.0,29.5
92,3,70.0,30.0
93,3,70.0,30.5
94,3,70.0,31.0
95,3,70.0,31.5
96,3,70.0,32.0
97,3,70.0,32.5
98,3,70.0,33.0
99,3,70.0,33.5
100,3,70.0,34.0
101,3,70.0,34.5
102,3,70.0,35.0
103,3,70.0,35.5
104,3,70.0,36.0
105,3,70.0,36.5
106,3,70.0,37.0
107,3,70.0,37.5
108,3,70.0,38.0
109,3,70.0,38.5
110,3,70.0,39.0
111,3,70.0,39.5
112,3,70.0,40.0
113,3,70.0,40.5
114,3,70.0,41.0
115,3,70.0,41.5
116,3,70.0,42.0
117,3,70.0,42.5
118,3,70.0,43.0
119,3,70.0,43.5
120,3,70.0,44.0
121,4,69.5,-16.0
122,4,69.5,-15.5
123,4,69.5,-15.0
124,4,69.5,-14.5
125,4,69.5,-14.0
126,4,69.5,-13.5
127,4,69.5,-13.0
128,4,69.5,-12.5
129,4,69.5,-12.0
130,4,69.5,-11.5
131,4,69.5,-11.0
132,4,69.5,-10.5
133,4,69.5,-10.0
134,4,69.5,-9.5
135,4,69.5,-9.0
136,4,69.5,-8.5
137,4,69.5,-8.0
138,4,69.5,-7.5
139,4,69.5,-7.0
140,4,69.5,-6.5
141,4,69.5,-6.0
142,4,69.5,-5.5
143,4,69.5,-5.0
144,4,69.5,-4.5
145,4,69.5,-4.0
146,4,69.5,-3.5
147,4,69.5,-3.0
148,4,69.5,-2.5
149,4,69.5,-2.0
150,4,69.5,-1.5
151,3,69.5,-1.0
152,3,69.5,-0.5
153,3,69.5,0.0
154,3,69.5,0.5
155,3,69.5,1.0
156,3,69.5,1.5
157,3,69.5,2.0
158,3,69.5,2.5
159,3,69.5,3.0
160,3,69.5,3.5
161,3,69.5,4.0
162,3,69.5,4.5
163,3,69.5,5.0
164,3,69.5,5.5
165,3,69.5,6.0
166,3,69.5,6.5
167,3,69.5,7.0
168,3,69.5,7.5
169,3,69.5,8.0
170,3,69.5,8.5
171,3,69.5,9.0
172,3,69.5,9.5
173,3,69.5,10.0
174,3,69.5,10.5
175,3,69.5,11.0
176,3,69.5,11.5
177,3,69.5,12.0
178,3,69.5,12.5
179,3,69.5,13.0
180,3,69.5,13.5
181,3,69.5,14.0
182,3,69.5,14.5
183,3,69.5,15.0
184,3,69.5,15.5
185,3,69.5,16.0
186,3,69.5,16.5
187,3,69.5,17.0
188,3,69.5,17.5
