,cluster,nodes_lat,nodes_lon
0,4,70.0,-16.0
1,4,70.0,-15.5
2,4,70.0,-15.0
3,4,70.0,-14.5
4,4,70.0,-14.0
5,4,70.0,-13.5
6,4,70.0,-13.0
7,4,70.0,-12.5
8,4,70.0,-12.0
9,4,70.0,-11.5
10,4,70.0,-11.0
11,4,70.0,-10.5
12,4,70.0,-10.0
13,4,70.0,-9.5
14,4,70.0,-9.0
15,4,70.0,-8.5
16,4,70.0,-8.0
17,4,70.0,-7.5
18,4,70.0,-7.0
19,4,70.0,-6.5
20,4,70.0,-6.0
21,4,70.0,-5.5
22,4,70.0,-5.0
23,4,70.0,-4.5
24,4,70.0,-4.0
25,4,70.0,-3.5
26,4,70.0,-3.0
27,4,70.0,-2.5
28,4,70.0,-2.0
29,4,70.0,-1.5
30,4,70.0,-1.0
31,4,70.0,-0.5
32,4,70.0,0.0
33,4,70.0,0.5
34,4,70.0,1.0
35,4,70.0,1.5
36,4,70.0,2.0
37,4,70.0,2.5
38,4,70.0,3.0
39,4,70.0,3.5
40,4,70.0,4.0
41,4,70.0,4.5
42,4,70.0,5.0
43,4,70.0,5.5
44,4,70.0,6.0
45,4,70.0,6.5
46,4,70.0,7.0
47,4,70.0,7.5
48,4,70.0,8.0
49,4,70.0,8.5
50,4,70.0,9.0
51,4,70.0,9.5
52,4,70.0,10.0
53,4,70.0,10.5
54,4,70.0,11.0
55,4,70.0,11.5
56,4,70.0,12.0
57,4,70.0,12.5
58,4,70.0,13.0
59,4,70.0,13.5
60,4,70.0,14.0
61,4,70.0,14.5
62,4,70.0,15.0
63,4,70.0,15.5
64,1,70.0,16.0
65,1,70.0,16.5
66,1,70.0,17.0
67,1,70.0,17.5
68,1,70.0,18.0
69,1,70.0,18.5
70,1,70.0,19.0
71,1,70.0,19.5
72,1,70.0,20.0
73,1,70.0,20.5
74,1,70.0,21.0
75,1,70.0,21.5
76,1,70.0,22.0
77,1,70.0,22.5
78,1,70.0,23.0
79,1,70.0,23.5
80,1,70.0,24.0
81,1,70.0,24.5
82,1,70.0,25.0
83,1,70.0,25.5
84,1,70.0,26.0
85,1,70.0,26.5
86,1,70.0,27.0
87,1,70.0,27.5
88,1,70.0,28.0
89,1,70.0,28.5
90,1,70.0,29.0
91,1,70.0,29.5
92,1,70.0,30.0
93,1,70.0,30.5
94,1,70.0,31.0
95,1,70.0,31.5
96,1,70.0,32.0
97,1,70.0,32.5
98,1,70.0,33.0
99,1,70.0,33.5
100,1,70.0,34.0
101,1,70.0,34.5
102,1,70.0,35.0
103,1,70.0,35.5
104,1,70.0,36.0
105,1,70.0,36.5
106,1,70.0,37.0
107,1,70.0,37.5
108,1,70.0,38.0
109,1,70.0,38.5
110,1,70.0,39.0
111,1,70.0,39.5
112,1,70.0,40.0
113,1,70.0,40.5
114,1,70.0,41.0
115,1,70.0,41.5
116,1,70.0,42.0
117,1,70.0,42.5
118,1,70.0,43.0
119,1,70.0,43.5
120,1,70.0,44.0
121,4,69.5,-16.0
122,4,69.5,-15.5
123,4,69.5,-15.0
124,4,69.5,-14.5
125,4,69.5,-14.0
126,4,69.5,-13.5
127,4,69.5,-13.0
128,4,69.5,-12.5
129,4,69.5,-12.0
130,4,69.5,-11.5
131,4,69.5,-11.0
132,4,69.5,-10.5
133,4,69.5,-10.0
134,4,69.5,-9.5
135,4,69.5,-9.0
136,4,69.5,-8.5
137,4,69.5,-8.0
138,4,69.5,-7.5
139,4,69.5,-7.0
140,4,69.5,-6.5
141,4,69.5,-6.0
142,4,69.5,-5.5
143,4,69.5,-5.0
144,4,69.5,-4.5
145,4,69.5,-4.0
146,4,69.5,-3.5
147,4,69.5,-3.0
148,4,69.5,-2.5
149,4,69.5,-2.0
150,4,69.5,-1.5
151,4,69.5,-1.0
152,4,69.5,-0.5
153,4,69.5,0.0
154,4,69.5,0.5
155,4,69.5,1.0
156,4,69.5,1.5
157,4,69.5,2.0
158,4,69.5,2.5
159,4,69.5,3.0
160,4,69.5,3.5
161,4,69.5,4.0
162,4,69.5,4.5
163,4,69.5,5.0
164,4,69.5,5.5
165,4,69.5,6.0
166,4,69.5,6.5
167,4,69.5,7.0
168,4,69.5,7.5
169,4,69.5,8.0
170,4,69.5,8.5
171,4,69.5,9.0
172,4,69.5,9.5
173,4,69.5,10.0
174,4,69.5,10.5
175,4,69.5,11.0
176,4,69.5,11.5
177,4,69.5,12.0
178,4,69.5,12.5
179,4,69.5,13.0
180,4,69.5,13.5
181,4,69.5,14.0
182,4,69.5,14.5
183,4,69.5,15.0
184,4,69.5,15.5
185,1,69.5,16.0
186,1,69.5,16.5
187,1,69.5,17.0
188,1,69.5,17.5
